obsTime	obsValue	obsYear	obsQtr
1997-Q3	66.7	1997	3
1997-Q4	67.2	1997	4
1998-Q1	67.8	1998	1
1998-Q2	68.3	1998	2
1998-Q3	68.8	1998	3
1998-Q4	69.4	1998	4
1999-Q1	69.9	1999	1
1999-Q2	70.4	1999	2
1999-Q3	70.9	1999	3
1999-Q4	71.4	1999	4
2000-Q1	71.9	2000	1
2000-Q2	72.5	2000	2
2000-Q3	73.1	2000	3
2000-Q4	73.8	2000	4
2001-Q1	74.5	2001	1
2001-Q2	75.1	2001	2
2001-Q3	75.7	2001	3
2001-Q4	76.3	2001	4
2002-Q1	76.9	2002	1
2002-Q2	77.5	2002	2
2002-Q3	78.2	2002	3
2002-Q4	78.9	2002	4
2003-Q1	79.6	2003	1
2003-Q2	80.3	2003	2
2003-Q3	81.1	2003	3
2003-Q4	81.8	2003	4
2004-Q1	82.5	2004	1
2004-Q2	83.2	2004	2
2004-Q3	83.9	2004	3
2004-Q4	84.8	2004	4
2005-Q1	85.7	2005	1
2005-Q2	86.5	2005	2
2005-Q3	87.4	2005	3
2005-Q4	88.3	2005	4
2006-Q1	89.2	2006	1
2006-Q2	90.1	2006	2
2006-Q3	91	2006	3
2006-Q4	91.9	2006	4
2007-Q1	92.8	2007	1
2007-Q2	93.7	2007	2
2007-Q3	94.7	2007	3
2007-Q4	95.6	2007	4
2008-Q1	96.6	2008	1
2008-Q2	97.7	2008	2
2008-Q3	98.7	2008	3
2008-Q4	99.7	2008	4
2009-Q1	100.6	2009	1
2009-Q2	101.4	2009	2
2009-Q3	101.8	2009	3
2009-Q4	102.6	2009	4
2010-Q1	103.5	2010	1
2010-Q2	104.5	2010	2
2010-Q3	105.5	2010	3
2010-Q4	106.6	2010	4
2011-Q1	107.5	2011	1
2011-Q2	108.5	2011	2
2011-Q3	109.4	2011	3
2011-Q4	110.4	2011	4
2012-Q1	111.5	2012	1
2012-Q2	112.4	2012	2
2012-Q3	113.4	2012	3
2012-Q4	114.2	2012	4
2013-Q1	115	2013	1
2013-Q2	115.7	2013	2
2013-Q3	116.5	2013	3
2013-Q4	117.2	2013	4
2014-Q1	118	2014	1
2014-Q2	118.7	2014	2
2014-Q3	119.4	2014	3
2014-Q4	120.1	2014	4
2015-Q1	120.8	2015	1
2015-Q2	121.4	2015	2
2015-Q3	122	2015	3
2015-Q4	122.7	2015	4
2016-Q1	123.3	2016	1
2016-Q2	123.9	2016	2
2016-Q3	124.4	2016	3
2016-Q4	125	2016	4
2017-Q1	125.6	2017	1
2017-Q2	126.3	2017	2
2017-Q3	126.9	2017	3
2017-Q4	127.6	2017	4
2018-Q1	128.3	2018	1
2018-Q2	129	2018	2
2018-Q3	129.8	2018	3
2018-Q4	130.5	2018	4
2019-Q1	131.3	2019	1
2019-Q2	132	2019	2
2019-Q3	132.7	2019	3
2019-Q4	133.4	2019	4
